Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,IsAccurate,LapTimeSeconds,BestStintLap,Degradation,PitLap
PER,Red Bull Racing,8.0,0 days 00:01:37.838000,SOFT,11.0,1.0,,,True,97.838,96.541,1.296999999999997,False
PER,Red Bull Racing,9.0,0 days 00:01:37.596000,SOFT,12.0,1.0,,,True,97.596,96.541,1.0550000000000068,False
PER,Red Bull Racing,10.0,0 days 00:01:37.630000,SOFT,13.0,1.0,,,True,97.63,96.541,1.0889999999999986,False
PER,Red Bull Racing,11.0,0 days 00:01:37.836000,SOFT,14.0,1.0,,,True,97.836,96.541,1.2950000000000017,False
PER,Red Bull Racing,14.0,0 days 00:01:35.606000,HARD,2.0,2.0,,,True,95.606,95.606,0.0,False
PER,Red Bull Racing,15.0,0 days 00:01:36.815000,HARD,3.0,2.0,,,True,96.815,95.606,1.2090000000000032,False
PER,Red Bull Racing,16.0,0 days 00:01:35.783000,HARD,4.0,2.0,,,True,95.783,95.606,0.1770000000000067,False
PER,Red Bull Racing,17.0,0 days 00:01:36.454000,HARD,5.0,2.0,,,True,96.454,95.606,0.847999999999999,False
PER,Red Bull Racing,18.0,0 days 00:01:36.311000,HARD,6.0,2.0,,,True,96.311,95.606,0.7050000000000125,False
PER,Red Bull Racing,19.0,0 days 00:01:36.038000,HARD,7.0,2.0,,,True,96.038,95.606,0.43200000000000216,False
PER,Red Bull Racing,20.0,0 days 00:01:36.278000,HARD,8.0,2.0,,,True,96.278,95.606,0.6720000000000113,False
PER,Red Bull Racing,21.0,0 days 00:01:36.165000,HARD,9.0,2.0,,,True,96.165,95.606,0.5590000000000117,False
PER,Red Bull Racing,22.0,0 days 00:01:36.037000,HARD,10.0,2.0,,,True,96.037,95.606,0.4310000000000116,False
PER,Red Bull Racing,23.0,0 days 00:01:36.249000,HARD,11.0,2.0,,,True,96.249,95.606,0.6430000000000007,False
PER,Red Bull Racing,24.0,0 days 00:01:36.211000,HARD,12.0,2.0,,,True,96.211,95.606,0.605000000000004,False
PER,Red Bull Racing,25.0,0 days 00:01:36.344000,HARD,13.0,2.0,,,True,96.344,95.606,0.7379999999999995,False
PER,Red Bull Racing,26.0,0 days 00:01:36.347000,HARD,14.0,2.0,,,True,96.347,95.606,0.7409999999999997,False
PER,Red Bull Racing,27.0,0 days 00:01:36.233000,HARD,15.0,2.0,,,True,96.233,95.606,0.6270000000000095,False
PER,Red Bull Racing,28.0,0 days 00:01:36.226000,HARD,16.0,2.0,,,True,96.226,95.606,0.6200000000000045,False
PER,Red Bull Racing,29.0,0 days 00:01:36.437000,HARD,17.0,2.0,,,True,96.437,95.606,0.8310000000000031,False
PER,Red Bull Racing,30.0,0 days 00:01:36.313000,HARD,18.0,2.0,,,True,96.313,95.606,0.7070000000000078,False
PER,Red Bull Racing,31.0,0 days 00:01:36.339000,HARD,19.0,2.0,,,True,96.339,95.606,0.7330000000000041,False
PER,Red Bull Racing,32.0,0 days 00:01:36.276000,HARD,20.0,2.0,,,True,96.276,95.606,0.6700000000000017,False
PER,Red Bull Racing,33.0,0 days 00:01:36.564000,HARD,21.0,2.0,,,True,96.564,95.606,0.9579999999999984,False
PER,Red Bull Racing,34.0,0 days 00:01:36.378000,HARD,22.0,2.0,,,True,96.378,95.606,0.7720000000000056,False
PER,Red Bull Racing,35.0,0 days 00:01:36.776000,HARD,23.0,2.0,,,True,96.776,95.606,1.1700000000000017,False
PER,Red Bull Racing,38.0,0 days 00:01:34.804000,SOFT,2.0,3.0,,,True,94.804,94.364,0.4399999999999977,False
PER,Red Bull Racing,39.0,0 days 00:01:34.607000,SOFT,3.0,3.0,,,True,94.607,94.364,0.242999999999995,False
PER,Red Bull Racing,40.0,0 days 00:01:34.364000,SOFT,4.0,3.0,,,True,94.364,94.364,0.0,False
PER,Red Bull Racing,41.0,0 days 00:01:34.400000,SOFT,5.0,3.0,,,True,94.4,94.364,0.036000000000001364,False
PER,Red Bull Racing,42.0,0 days 00:01:34.525000,SOFT,6.0,3.0,,,True,94.525,94.364,0.16100000000000136,False
PER,Red Bull Racing,43.0,0 days 00:01:34.797000,SOFT,7.0,3.0,,,True,94.797,94.364,0.4329999999999927,False
PER,Red Bull Racing,44.0,0 days 00:01:34.799000,SOFT,8.0,3.0,,,True,94.799,94.364,0.4350000000000023,False
PER,Red Bull Racing,45.0,0 days 00:01:34.592000,SOFT,9.0,3.0,,,True,94.592,94.364,0.22799999999999443,False
PER,Red Bull Racing,46.0,0 days 00:01:34.844000,SOFT,10.0,3.0,,,True,94.844,94.364,0.47999999999998977,False
PER,Red Bull Racing,47.0,0 days 00:01:34.730000,SOFT,11.0,3.0,,,True,94.73,94.364,0.36599999999999966,False
PER,Red Bull Racing,48.0,0 days 00:01:34.885000,SOFT,12.0,3.0,,,True,94.885,94.364,0.5210000000000008,False
PER,Red Bull Racing,49.0,0 days 00:01:34.966000,SOFT,13.0,3.0,,,True,94.966,94.364,0.6019999999999897,False
PER,Red Bull Racing,50.0,0 days 00:01:35.082000,SOFT,14.0,3.0,,,True,95.082,94.364,0.7179999999999893,False
